gfx,cu_num,dtype,K,V,BT,H,Hg,is_varlen,use_h0,store_fs,snapshot_bf16,state_bf16,T_flat,N,total_chunks,max_seq_chunks,BV,us
gfx942,80,torch.bfloat16,128,128,64,32,8,False,True,False,True,False,2048,1,32,32,64,145.4
gfx942,80,torch.bfloat16,128,128,64,16,4,False,True,False,True,False,2048,1,32,32,64,145.8
gfx942,80,torch.bfloat16,128,128,64,16,4,False,True,False,False,False,2048,1,32,32,64,146.6
gfx942,80,torch.bfloat16,128,128,64,8,2,False,True,False,False,False,2048,1,32,32,32,147.0
gfx942,80,torch.bfloat16,128,128,64,8,2,False,True,False,True,False,1024,1,16,16,32,147.3
gfx942,80,torch.bfloat16,128,128,64,32,8,False,True,False,False,False,2048,1,32,32,64,148.9
gfx942,80,torch.bfloat16,128,128,64,8,2,False,True,False,False,False,4096,1,64,64,16,149.1
gfx942,80,torch.bfloat16,128,128,64,8,2,False,True,False,True,False,2048,1,32,32,16,149.2
gfx942,80,torch.bfloat16,128,128,64,32,8,False,True,False,False,False,1024,1,16,16,16,150.0
gfx942,80,torch.bfloat16,128,128,64,8,2,False,True,False,True,False,4096,1,64,64,16,151.2
gfx942,80,torch.bfloat16,128,128,64,16,4,False,True,False,True,False,1024,1,16,16,32,151.5
gfx942,80,torch.bfloat16,128,128,64,32,8,False,True,False,True,False,1024,1,16,16,32,152.4
gfx942,80,torch.bfloat16,128,128,64,8,2,False,True,False,False,False,1024,1,16,16,32,153.2
gfx942,80,torch.bfloat16,128,128,64,16,4,False,True,False,False,False,1024,1,16,16,64,154.4
gfx942,80,torch.bfloat16,128,128,64,16,4,False,True,False,True,False,4096,1,64,64,32,156.0
gfx942,80,torch.bfloat16,128,128,64,64,16,False,True,False,True,False,1024,1,16,16,64,156.7
gfx942,80,torch.bfloat16,128,128,64,64,16,False,True,False,False,False,1024,1,16,16,64,157.2
gfx942,80,torch.bfloat16,128,128,64,16,4,False,True,False,False,False,4096,1,64,64,32,160.0
gfx942,80,torch.bfloat16,128,128,64,32,8,False,True,False,True,False,4096,1,64,64,64,229.8
gfx942,80,torch.bfloat16,128,128,64,64,16,False,True,False,True,False,2048,1,32,32,64,233.9
gfx942,80,torch.bfloat16,128,128,64,8,2,False,True,False,True,False,8192,1,128,128,16,240.3
gfx942,80,torch.bfloat16,128,128,64,32,8,False,True,False,False,False,4096,1,64,64,64,241.9
gfx942,80,torch.bfloat16,128,128,64,8,2,False,True,False,False,False,8192,1,128,128,16,244.0
gfx942,80,torch.bfloat16,128,128,64,64,16,False,True,False,False,False,2048,1,32,32,64,245.8
gfx942,80,torch.bfloat16,128,128,64,16,4,False,True,False,True,False,8192,1,128,128,32,304.5
gfx942,80,torch.bfloat16,128,128,64,16,4,False,True,False,False,False,8192,1,128,128,32,312.8
gfx942,80,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,8192,8,128,16,64,464.2
gfx942,80,torch.bfloat16,128,128,64,32,8,False,True,False,True,False,8192,1,128,128,64,467.2
gfx942,80,torch.bfloat16,128,128,64,64,16,False,True,False,True,False,4096,1,64,64,64,468.6
gfx942,80,torch.bfloat16,128,128,64,8,2,False,True,False,True,False,16384,1,256,256,16,473.4
gfx942,80,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,8192,2,128,64,64,477.7
gfx942,80,torch.bfloat16,128,128,64,8,2,False,True,False,False,False,16384,1,256,256,16,481.1
gfx942,80,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,8192,4,128,32,64,497.3
gfx942,80,torch.bfloat16,128,128,64,32,8,False,True,False,False,False,8192,1,128,128,64,510.8
gfx942,80,torch.bfloat16,128,128,64,64,16,False,True,False,False,False,4096,1,64,64,64,521.2
gfx942,80,torch.bfloat16,128,128,64,16,4,False,True,False,True,False,16384,1,256,256,32,693.6
gfx942,80,torch.bfloat16,128,128,64,16,4,False,True,False,False,False,16384,1,256,256,32,735.4
gfx942,80,torch.bfloat16,128,128,64,64,16,True,True,True,True,False,8192,8,128,16,64,865.9
gfx942,80,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,16384,16,256,16,64,868.4
gfx942,80,torch.bfloat16,128,128,64,64,16,True,True,True,True,False,8192,4,128,32,64,877.8
gfx942,80,torch.bfloat16,128,128,64,32,8,True,True,True,True,False,16384,8,256,32,64,877.8
gfx942,80,torch.bfloat16,128,128,64,64,16,True,True,True,False,False,8192,8,128,16,64,933.3
gfx942,80,torch.bfloat16,128,128,64,32,8,False,True,False,True,False,16384,1,256,256,64,939.2
gfx942,80,torch.bfloat16,128,128,64,64,16,False,True,False,True,False,8192,1,128,128,64,941.7
