gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,16384,1536,7168,ck,13,3,210.0224,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1717.8,851.25,0.0
gfx950,256,20480,1536,7168,ck,13,1,262.5612,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1717.59,840.66,0.0
gfx950,256,20480,3072,1536,ck,13,2,135.0665,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1430.95,1199.45,0.0
gfx950,256,128,4096,1280,ck,6,3,6.4459,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,208.22,1001.46,0.0
gfx950,256,20480,4096,512,ck,16,0,91.452,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,939.28,1972.13,0.0
gfx950,256,20480,4608,7168,ck,13,3,706.1114,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1916.01,521.98,0.0
gfx950,256,16,7168,256,ck,5,3,2.9065,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,20.2,711.67,0.0
gfx950,256,32,7168,256,ck,10,3,3.1777,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,36.96,724.41,0.0
gfx950,256,64,7168,256,ck,12,3,3.5803,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,65.6,773.37,0.0
gfx950,256,128,7168,256,ck,7,3,4.1898,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,112.12,883.76,0.0
gfx950,256,256,7168,256,ck,12,1,5.127,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,183.25,1086.51,0.0
gfx950,256,512,7168,256,ck,12,1,6.7969,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,276.46,1369.17,0.0
gfx950,256,1024,7168,256,ck,9,3,9.8023,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,383.39,1711.56,0.0
gfx950,256,1536,7168,256,ck,9,3,12.8461,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,438.82,1887.6,0.0
gfx950,256,2048,7168,256,ck,8,2,15.6196,a8w8_blockscale_bpreshuffle_1x128x128_256x32x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,481.2,2030.74,0.0
gfx950,256,4096,7168,256,ck,9,1,26.2565,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,572.52,2346.23,0.0
gfx950,256,8192,7168,256,ck,16,2,47.1578,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,637.54,2573.76,0.0
gfx950,256,16384,7168,256,ck,16,1,85.2357,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,705.45,2826.4,0.0
gfx950,256,20480,7168,256,ck,16,0,104.9379,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,716.25,2865.31,0.0
gfx950,256,20480,7168,2048,ck,13,0,362.869,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1657.06,965.15,0.0
gfx950,256,20480,7168,2304,ck,13,2,395.8895,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1708.7,902.53,0.0
gfx942,80,2048,1024,4096,ck,13,0,85.9541,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,199.87,195.19,0.0
gfx942,80,2048,4096,4096,ck,14,0,263.2901,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,261.0,159.3,0.0
gfx942,80,2048,4096,12288,ck,14,0,724.7703,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,284.45,127.32,0.0
gfx942,80,2048,12288,4096,ck,14,0,766.9934,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,268.79,142.18,0.0
